	0
Bulwarks	8
Bunger	6
Bungle	6
Bunyan	6
Buoyed	6
Burke	5
Burkes	6
Burst	5
Burton	6
Burtons	7
Business	8
But	3
Butchers	8
Butgood	7
Butler	6
By	2
Bylaws	6
Bythebye	8
Byward	6
C	1
CANNY	5
CAPTAIN	7
CAROLINE	8
CARPENTER	9
CARROLL	7
CAT	3
CATERPILLAR	11
CETUS	5
CHAPTER	7
CHAPTERS	8
CHESHIRE	8
CHESS	5
CHICAGO	7
CHINA	5
CO	2
COLEMAN	7
COLLINS	7
COMPANY	7
CONSEQUENTIAL	13
CONTENTS	8
CONTRACT	8
COURT	5
CURTAIN	7
Cabaco	6
Cabacos	7
Cabin	5
CabinTable	10
Cachalot	8
Cadiz	5
Cain	4
Calais	6
Californian	11
Call	4
Callao	6
Calling	7
Cambridgemost	13
Cambyses	8
Camels	6
Campagna	8
Can	3
Canaan	6
Canada	6
Canadian	8
Canal	5
Canalis	7
Canaller	8
Canallers	9
Canals	6
Canaris	7
Cancer	6
Candles	7
Cannibal	8
Cannibals	9
Cannon	6
Canst	5
Cant	4
Canterbury	10
Capain	6
Cape	4
CapeCodman	10
CapeDown	8
CapeHorner	10
CapeTown	8
Capes	5
Capricornus	11
Captain	7
CaptainAhab	11
CaptainMounttop	15
Captainglancing	15
Captains	8
Capting	7
Captors	7
Caramba	7
Care	4
Careful	7
Carefully	9
Careys	6
Caroline	8
Carolines	9
Carpenter	9
CarpetBag	9
Carrol	6
Carrolls	8
Carsonthat	10
Carter	6
Carthagethe	11
Caryatid	8
Case	4
Cash	4
Cassock	7
Castaway	8
Castle	6
Cat	3
Catallow	8
Catches	7
Categut	7
Cathedral	9
Catherine	9
Catherines	10
Catholic	8
Cato	4
Catskill	8
Cattegat	8
Caught	6
Cave	4
Caw	3
Cellinis	8
Central	7
Certain	7
Certainly	9
Cervantes	9
Cetacea	7
Cetacean	8
Ceti	4
Cetology	8
Cetus	5
Ceylon	6
Chace	5
Chaces	6
Chaldee	7
Chamberlayne	12
Champagne	9
Champollion	11
Change	6
Channel	7
Chapel	6
Chapter	7
Character	9
Charing	7
Charity	7
CharityAunt	11
Charitys	8
Charlemagne	11
Charlemagnes	12
Charles	7
Charley	7
Charlotte	9
Charlotteimpossible	19
Charlottes	10
Chart	5
Chartering	10
ChaseFirst	10
ChaseSecond	11
ChaseThird	10
Chatsworth	10
Cheapside	9
Check	5
Checks	6
Cheever	7
Cherries	8
Cheshire	8
Chess	5
Chestnut	8
Chicago	7
Chief	5
Child	5
Childe	6
Chili	5
Chilian	7
China	5
Chinese	7
Cholo	5
Choose	6
Chowder	7
Christ	6
Christendom	11
Christian	9
Christianity	12
Christians	10
Christmas	9
Church	6
Cinque	6
Circassian	10
Circumambulate	14
Circumnavigation	16
Cistern	7
City	4
Civitas	7
Clam	4
Clap	4
Clapham	7
Clarkes	7
Classical	9
Claus	5
Clear	5
Clearing	8
Clements	8
Cleopatra	9
Cleopatras	10
Cleveland	9
Clifford	8
Cliffords	9
Clinging	8
Clootz	6
Close	5
Closing	7
Cloud	5
Cluny	5
Co	2
Coast	5
CockLane	8
Cockatoo	8
Cod	3
Cods	4
Coenties	8
Coffin	6
CoffinSpouterRather	19
Coffins	7
Cognac	6
Coils	5
CokeuponLittleton	17
Cold	4
Colemans	8
Coleridge	9
Coleridges	10
Coll	4
Collar	6
College	7
Collins	7
Collinses	9
Collinss	8
Colnett	7
Colnetts	8
Cologne	7
Colognewater	12
Colonel	7
Colonies	8
Colossus	8
Columbus	8
Come	4
Comes	5
Coming	6
Commanded	9
Commanders	10
Commend	7
Commerce	8
Commercial	10
Commodore	9
Commodores	10
Common	6
Commonly	8
Commons	7
Commonwealth	12
Companies	9
Company	7
Compared	8
Comparing	9
Compliance	10
Complied	8
Compliments	11
Comstock	8
Conceal	7
Concerning	10
Congo	5
Congregation	12
Congregational	14
Conjectures	11
Conjuror	8
Connecticut	11
Conscience	10
Consequently	12
Consider	8
Considering	11
Console	7
Consoled	8
Constable	9
Constantines	12
Constantinople	14
Consumptive	11
Contact	7
Contested	9
Continents	10
Contrariwise	12
Contributions	13
Conveniently	12
Conversation	12
Conversations	13
Convinced	9
Convulsively	12
Cook	4
Cookes	6
Cooks	5
Cooper	6
Coopers	7
Coopman	7
Copenhagen	10
Coppered	8
Copyright	9
Corinthians	11
Corkscrew	9
Corlaers	8
Corlears	8
Coronation	10
Corresponding	13
Corrupt	7
Cough	5
Could	5
Count	5
Counterpane	11
County	6
Courier	7
Court	5
Cousin	6
Cowleys	7
Cowper	6
Crab	4
Crack	5
Cranmers	8
Crappo	6
Crappoes	8
Creagh	6
Created	7
Creating	8
Creatures	9
Cretan	6
Crete	5
Crew	4
Cries	5
Crish	5
Crockett	8
Cross	5
Crossed	7
Crossing	8
Crotch	6
Crowding	8
Crown	5
Crozetts	8
Cruelty	7
Cruise	6
Cruising	8
Cruize	6
Cruppered	9
Crusaders	9
Crushed	7
Crying	6
Csar	4
Csarian	7
Cuba	4
Curious	7
Currents	8
Curse	5
Cursed	6
Curses	6
Curtain	7
Curtsey	7
Cussed	6
CustomsWhos	11
Cut	3
Cutting	7
Cuvier	6
Cuviers	7
Cyclades	8
Czar	4
DAGGOO	6
DAMAGE	6
DAMAGES	7
DANISH	6
DARCY	5
DEAR	4
DEAREST	7
DEE	3
DEL	3
DICK	4
DIRECT	6
DISCLAIMER	10
DISTRIBUTE	10
DISTRIBUTOR	11
DONATIONS	9
DORMOUSE	8
DORMOUSES	9
DUCHESS	7
DUM	3
DUMPTY	6
DUODECIMO	9
DUODECIMOESThese	16
DUTCH	5
DWolf	5
Dabolls	7
Daggoo	6
Daggooinstinctively	19
Dagon	5
Daingerfield	12
Dale	4
Dame	4
Damn	4
Damocles	8
Dampiers	8
Dan	3
Dance	5
Dancing	7
Danes	5
Daniel	6
Danish	6
Dante	5
Dantean	7
Darcy	5
Darcyand	8
Darcybut	8
Darcys	6
Darcythat	9
Dardanelles	11
Darien	6
Darkness	8
Darmonodes	10
Darst	5
Dart	4
Darwins	7
Dash	4
Dashing	7
Date	4
Daughters	9
Dauphine	8
Davenant	8
David	5
Davis	5
Davy	4
Dawson	6
Day	3
Days	4
De	2
Deacon	6
Dead	4
Dear	4
Dearest	7
Death	5
Debell	6
Decanter	8
December	8
Deck	4
DeckFirst	9
Deep	4
Deer	4
Defect	6
Defects	7
Deity	5
Deitymostly	11
Del	3
Deliberately	12
Delight	7
Delightful	10
Delighttopgallant	17
Deliverer	9
Delta	5
Den	3
Denderah	8
Denny	5
Depend	6
Derbyshire	10
Derick	6
Dericks	7
Derision	8
Descartian	10
Descending	10
Desecrated	10
Design	6
Desmarest	9
Desolation	10
Despairing	10
Despatch	8
Despite	7
Detached	8
Deuteronomy	11
Deuteronomys	12
Deuteronomywhy	14
Devil	5
DevilDam	8
Devildam	8
Devils	6
Dey	3
Diaz	4
Dick	4
DickMoby	8
Dickand	7
Dickas	6
Dickbut	7
Dicks	5
Dicktwo	7
Dictionary	10
Did	3
Didnt	5
Didst	5
DiminishWill	12
Din	3
Ding	4
Dining	6
Dinner	6
Dinting	7
Director	8
Discovery	9
Disdain	7
Dish	4
Dismal	6
Dissect	7
Distraction	11
Distributed	11
Dives	5
Divide	6
Divine	6
Diving	6
Do	2
Doctor	6
Dodge	5
Does	4
Doesnt	6
Dog	3
Domain	6
Dome	4
Dominic	7
Don	3
Donald	6
Donations	9
Donbut	6
Donohoe	7
Dons	4
Donsnay	7
Dont	4
Doom	4
Doors	5
Dorchester	10
Dormouse	8
Dost	4
Doubloon	8
Doubtless	9
Doubts	6
DoughBoy	8
DoughBoys	9
Doughboy	8
Dove	4
Dovedale	8
Dover	5
Down	4
Dr	2
Dragged	7
Dragon	6
Drags	5
Dramatization	13
Drat	4
Drawing	7
Drawling	8
Drawlingmaster	14
Drawlingthe	11
Drawn	5
Draws	5
Dream	5
Drink	5
Drinking	8
Drive	5
Drop	4
Dropping	8
Drops	5
Dry	3
Drydens	7
Duchess	7
Duck	4
Dugongs	7
Duke	4
Dukes	5
Dum	3
Dumpty	6
Dunders	7
Dunfermline	11
Dunkirk	7
Duodecimo	9
Duodecimoes	11
Durand	6
Durer	5
During	6
Dusk	4
Dut	3
Dutch	5
Dutchman	8
Dye	3
Dying	5
E	1
EBOOK	5
EBook	5
ECUADOR	7
EDW	3
EIN	3
ELIZA	5
ELLERY	6
END	3
ENGLISH	7
ERIS	4
ESCAPED	7
ETYMOLOGY	9
EVEN	4
EVERYBODY	9
EXCEPT	6
EXPRESS	7
EXTRACTS	8
EZEKIEL	7
Each	4
Eager	5
Eagle	5
Earl	4
Earls	5
Earthsman	9
East	4
Eastbourne	10
Easter	6
Easterday	9
Eastern	7
Eastif	6
Eastsoueast	11
Eastsoutheastwhich	18
Easy	4
Ebony	5
Ecclesiastes	12
Eckerman	8
Eckermanns	10
Eddystone	9
Edges	5
Edgewise	8
Edmund	6
Edward	6
Edwardstreet	12
Ego	3
Egypt	5
Egyptian	8
Egyptians	9
Eh	2
Ehrenbreitstein	15
Eight	5
Eighth	6
Either	6
Elbe	4
Election	8
Electors	8
Elephant	8
Elephanta	9
Elephants	9
Elijah	6
Elijahs	7
Eliza	5
Elizabeth	9
Elizabethand	12
Elizabeths	10
Elizabeththere	14
Elizato	7
Ellenborough	12
Elsewhere	9
Elsie	5
Email	5
Emblazonings	12
Emboldened	10
Emir	4
Emperor	7
Emperors	8
Empire	6
End	3
Enderbies	9
Enderby	7
Enderbys	8
Engaged	7
England	7
EnglandOh	9
Englander	9
Englands	8
English	7
Englishknowing	14
Englishman	10
Englishmans	11
Englishmen	10
Enough	6
Enter	5
Entering	8
Enters	6
Entreaties	10
Enveloped	9
Ephesian	8
Epilogue	8
Epitome	7
Epsom	5
Equality	8
Equator	7
Equatorial	10
Ere	3
Erection	8
Eric	4
Erie	4
Erromanggoans	13
Erromangoan	11
Erroneous	9
Erskine	7
Esau	4
Espied	6
Espying	7
Esq	3
Esquimaux	9
Essex	5
Et	2
Etchings	8
Eternities	10
Eternity	8
Ethiopian	9
Euclid	6
Euclidean	9
Euroclydon	10
Europa	6
Europe	6
European	8
Evangelist	10
Evangelists	11
Even	4
Ever	4
Every	5
Everybody	9
Everything	10
Everythings	11
Evil	4
Ex	2
Exactly	7
Examines	8
Exceed	6
Exceedingly	11
Excellent	9
Except	6
Excepting	9
Exception	9
Excuse	6
Executive	9
Expedition	10
Expeditions	11
Explain	7
Exploring	9
Extending	9
Ezekiel	7
F	1
F3	2
FITNESS	7
FITZWILLIAM	11
FIVE	4
FIVESPOT	8
FOLIO	5
FOLIOS	6
FOOTMAN	7
FOR	3
FOUNDATION	10
FOUR	4
FRENCH	6
FRIEND	6
FROG	4
FROGS	5
FROM	4
FULL	4
Fa	2
Face	4
Faerie	6
Fain	4
Fainting	8
Faintly	7
Fair	4
Fairbanks	9
Faith	5
Falconers	9
Falsehood	9
Family	6
Fan	3
Fannings	8
Far	3
Farewell	8
Fashioned	9
Fast	4
FastFish	8
Faster	6
Fasterfaster	12
Fasting	7
Fat	3
FatCutter	9
Fata	4
Fate	4
Fates	5
Fatesremained	13
Father	6
Fatherchiefly	13
Fatigued	8
Fear	4
Fearing	7
February	8
Februarys	9
Fedallah	8
Fedallahs	9
Feegee	6
Feegeeans	9
Feegees	7
Feel	4
Fegee	5
Fejee	5
Fellowcritters	14
Ferdinando	10
Fernandes	9
Fetch	5
Few	3
Fiddlededees	12
Fields	6
Fiercely	8
Fiery	5
Fife	4
Fifteenth	9
Fifth	5
Figuera	7
Fill	4
FinBack	7
FinBackUnder	12
FinBacks	8
Finally	7
Finback	7
Find	4
Finding	7
Fine	4
Fire	4
Fired	5
First	5
Fish	4
FishI	5
Fisheries	9
Fisherman	9
Fishery	7
Fisherythe	10
Fishes	6
Fishiest	8
Fits	4
Fitz	4
Fitzwilliam	11
Fitzwilliams	12
Five	4
Fixed	5
Flask	5
Flaskgoodbye	12
Flaskpointing	13
Flasks	6
Flaskwas	8
Flaskwho	8
Flaskyou	8
Flat	4
Fleece	6
Fleet	5
Flings	6
Flip	4
Floating	8
Flood	5
Florence	8
Floundered	10
Flounders	9
Flowers	7
Flukes	6
Flying	6
Fogo	4
Folding	7
Folger	6
Folgers	7
Folio	5
Folios	6
Follies	7
Fool	4
Foolish	7
Footman	7
For	3
Forced	6
Fordyces	8
ForeTop	7
Forecastle	10
Forehead	8
Foremost	8
Foresail	8
Forge	5
Forgive	7
Form	4
Forming	7
Formosa	7
Forster	7
Forsters	8
Forthwith	9
Forty	5
Fortybarrelbull	15
Fortybarrelbullpoor	19
Fortyfortyforty	15
Forward	7
Fossil	6
Foundation	10
Foundations	11
Fountain	8
Four	4
Fourteen	8
Fourteenth	10
Fourth	6
FourthofJuly	12
Foxhall	7
France	6
Frank	5
Frankfort	9
Franklin	8
Fred	4
Frederick	9
FreeMason	9
Freely	6
Freeze	6
French	6
Frenchman	9
Frenchmans	10
Frenchmen	9
Friar	5
Friday	6
Friend	6
Friends	7
Friesland	9
Frighted	8
Frobisher	9
Froissart	9
From	4
Fshaped	7
Fuego	5
Full	4
Fullers	7
Fumbles	7
Funeral	7
Furiously	9
Furl	4
Further	7
Furthermore	11
Future	6
GAM	3
GARDENERS	9
GARDINER	8
GIVE	4
GLEIG	5
GRYPHON	7
GUTENBERG	9
GUTENBERGtm	11
Gabriel	7
Gabriels	8
Gaining	7
Gall	4
Gallaher	8
Galleries	9
Gallipagos	10
Gam	3
Gamming	7
Ganders	7
Ganges	6
Garden	6
Gardiner	8
Gardiners	9
Garnery	7
Gases	5
Gate	4
Gatherd	7
Gay	3
GayHead	7
GayHeader	9
GayHeaders	10
Gayhead	7
Gazette	7
Gemini	6
General	7
Generous	8
Genesis	7
Geneva	6
Genius	6
Gentlemen	9
Gently	6
Geoffrey	8
Geological	10
Georg	5
George	6
Georges	7
Georgiana	9
Georgianas	10
Ger	3
Germain	7
German	6
Germans	7
Gerstenberg	11
Gerstenbergs	12
Gesner	6
Get	3
Ghent	5
Gibraltar	9
Gifted	6
Gilder	6
Gilmore	7
Ginger	6
Gingerjub	9
Gingerwhat	10
Girls	5
Give	4
Giver	5
Gives	5
Giving	6
Glacier	7
Glaciers	8
Glad	4
Glancing	8
Glass	5
Glen	4
Gliding	7
Glimpses	8
Globe	5
Glory	5
Gnawed	6
Go	2
Goa	3
Goat	4
God	3
Godadvancing	12
Godcrack	8
Godfugitive	11
Godnever	8
Godomnipresent	14
Gods	4
Godso	5
Godthat	7
Godto	5
Goes	4
Goethe	6
Going	5
Golconda	8
Golden	6
Goldenhaired	12
Goldsmith	9
Goldsmiths	10
Gomorrah	8
Gondibert	9
Gonegone	8
Goney	5
Good	4
Goodbye	7
Goodhumored	11
Goodwin	7
Gor	3
Gospel	6
Gothic	6
Goulding	8
Gouldings	9
Grace	5
Gracechurch	11
Gracious	8
Grammar	7
Grampus	7
GrampusThough	13
Grampuss	8
Grand	5
GrandLamalike	13
Grant	5
Granting	8
Grantleys	9
Great	5
Grecian	7
Greece	6
Greedily	8
Greek	5
Greeks	6
Green	5
Greenland	9
Greenlanders	12
Greenlandmen	12
Greenwich	9
Gregory	7
Grenadiers	10
Gretna	6
Grief	5
Grin	4
Grisly	6
Groan	5
Gros	4
Grosvenor	9
Ground	6
Grounds	7
Growlands	9
Grub	4
Gryphon	7
Guernseyman	11
Guido	5
Guidos	6
Guinea	6
Guineacoast	11
Gulf	4
Gulfweed	8
Gull	4
Gunnis	6
Gurry	5
Gutenberg	9
Gutenbergs	10
Gutenbergtm	11
Gutenbergtms	12
H	1
HARDY	5
HARE	4
HARES	5
HARPOONEERS	11
HARRIET	7
HATTER	6
HAVE	4
HEARTS	6
HIS	3
HIST	4
HUMPTY	6
HVALT	5
HWAL	4
Ha	2
Haarlem	7
Hackluyt	8
Had	3
Hadnt	5
Hadst	5
Haggerston	10
Hah	3
Hail	4
Half	4
Hall	4
Hallo	5
Halloa	6
Halloo	6
Halting	7
Hamlet	6
Hampshire	9
Hampton	7
Hand	4
Handling	8
Hands	5
HangHo	6
Hanley	6
Hannibal	8
Hanoverian	10
Happiness	9
Happy	5
Harbor	6
Hard	4
Hardicanutes	12
Hardly	6
Hare	4
Hares	5
Hark	4
Harmattans	10
Harold	6
Harpooneer	10
Harpoons	8
Harpoonsbut	11
Harriet	7
Harringtons	11
Harris	6
Harriss	7
Harry	5
Harrya	6
Hart	4
Harto	5
Hartz	5
Harvard	7
Haryes	6
Has	3
Hast	4
Hat	3
Hate	4
Hatfield	8
Hatter	6
Haul	4
Have	4
Having	6
Hawaiian	8
Hawthornes	10
Hay	3
HaySeed	7
Haye	4
He	2
Head	4
HeadContrasted	14
Headed	6
Heading	7
Heads	5
Hear	4
Hearing	7
Hearkening	10
Hears	5
Heart	5
Hearts	6
Heartsisnt	10
Heated	6
Heave	5
Heaven	6
Heavens	7
Hebrew	6
Hebrews	7
Hecla	5
Hedgehog	8
Heed	4
HeevaHeeva	10
Heidelburgh	11
Helena	6
Hell	4
Hells	5
Helm	4
Help	4
Helps	5
Hem	3
Hemp	4
Hence	5
Henderson	9
Henry	5
Her	3
Herald	6
Herberts	8
Herculaneum	11
Hercules	8
Here	4
Hereby	6
Herein	6
Heres	5
Herman	6
Herods	6
Herr	4
Herschels	9
Hertfordshire	13
Hertfordshireand	16
Hertfordshirepaid	17
Hes	3
